iter	Passed	Remaining
407	5572	8086
408	5585	8070
409	5600	8058
410	5612	8043
411	5627	8030
412	5641	8018
413	5654	8004
414	5668	7990
415	5682	7977
416	5698	7966
417	5712	7953
418	5725	7939
419	5740	7927
420	5754	7913
421	5768	7900
422	5781	7886
423	5796	7874
424	5808	7858
425	5822	7845
426	5834	7829
427	5849	7817
428	5863	7804
429	5878	7792
430	5892	7779
431	5905	7764
432	5919	7750
433	5932	7736
434	5945	7721
435	5959	7708
436	5973	7695
437	5988	7683
438	6000	7667
439	6014	7654
440	6027	7640
441	6041	7627
442	6055	7613
443	6069	7600
444	6084	7588
445	6096	7572
446	6113	7563
447	6126	7548
448	6141	7537
449	6155	7523
450	6170	7511
451	6183	7497
452	6197	7483
453	6209	7468
454	6222	7453
455	6235	7439
456	6251	7427
457	6263	7412
458	6276	7397
459	6289	7383
460	6303	7369
461	6317	7356
462	6329	7341
463	6342	7326
464	6356	7313
465	6371	7300
466	6386	7288
467	6398	7273
468	6412	7259
469	6427	7248
470	6441	7234
471	6456	7222
472	6468	7206
473	6481	7192
474	6496	7180
475	6511	7167
476	6523	7152
477	6536	7137
478	6548	7123
479	6564	7111
480	6579	7099
481	6595	7087
482	6608	7074
483	6623	7061
484	6635	7046
485	6649	7032
486	6662	7018
487	6676	7004
488	6691	6992
489	6706	6980
490	6719	6966
491	6733	6952
492	6745	6937
493	6761	6926
494	6774	6911
495	6789	6899
496	6803	6885
497	6816	6871
498	6830	6857
499	6844	6844
500	6858	6830
501	6872	6817
502	6886	6804
503	6902	6792
504	6916	6779
505	6929	6765
506	6943	6752
507	6957	6738
508	6971	6725
509	6985	6711
510	6998	6696
511	7010	6681
512	7024	6668
513	7036	6653
514	7052	6641
515	7068	6630
516	7081	6615
517	7095	6602
518	7109	6588
519	7128	6579
520	7142	6566
521	7155	6551
522	7168	6537
523	7182	6524
524	7196	6511
525	7209	6497
526	7222	6482
527	7235	6467
528	7248	6453
529	7260	6438
530	7274	6425
531	7288	6411
532	7301	6397
533	7314	6382
534	7328	6369
535	7342	6356
536	7356	6342
537	7370	6329
538	7383	6315
539	7395	6300
540	7408	6285
541	7421	6271
542	7435	6258
543	7449	6244
544	7461	6229
545	7475	6215
546	7488	6201
547	7500	6186
548	7516	6174
549	7530	6161
550	7543	6146
551	7555	6131
552	7567	6117
553	7583	6104
554	7597	6091
555	7610	6077
556	7624	6063
557	7637	6049
558	7652	6037
559	7667	6024
560	7680	6010
561	7693	5995
562	7705	5981
563	7719	5967
564	7731	5952
565	7745	5939
566	7757	5924
567	7769	5909
568	7781	5894
569	7796	5881
570	7809	5867
571	7824	5854
572	7839	5842
573	7851	5827
574	7864	5813
575	7879	5800
576	7893	5787
577	7908	5773
578	7920	5759
579	7933	5745
580	7946	5730
581	7958	5715
582	7971	5701
583	7985	5687
584	7999	5675
585	8011	5659
586	8023	5645
587	8035	5630
588	8047	5615
589	8061	5601
590	8073	5587
591	8087	5573
592	8098	5558
593	8113	5545
594	8126	5531
595	8141	5518
596	8154	5504
597	8168	5491
598	8183	5478
599	8197	5464
600	8210	5450
601	8223	5436
602	8236	5422
603	8251	5409
604	8265	5396
605	8279	5382
606	8293	5369
607	8307	5356
608	8321	5342
609	8335	5328
610	8348	5315
611	8360	5300
612	8374	5286
613	8389	5273
614	8403	5260
615	8418	5248
616	8433	5235
617	8447	5221
618	8470	5213
619	8487	5202
620	8502	5189
621	8516	5175
622	8529	5161
623	8542	5147
624	8555	5133
625	8571	5120
626	8583	5106
627	8598	5093
628	8610	5078
629	8625	5065
630	8636	5050
631	8650	5037
632	8666	5024
633	8681	5011
634	8700	5001
635	8712	4986
636	8725	4972
637	8739	4958
638	8752	4944
639	8766	4931
640	8778	4916
641	8792	4903
642	8806	4889
643	8818	4875
644	8831	4860
645	8846	4848
646	8858	4833
647	8872	4819
648	8886	4806
649	8899	4792
650	8915	4779
651	8931	4766
652	8947	4754
653	8962	4741
654	8976	4727
655	8987	4713
656	9001	4699
657	9013	4684
658	9027	4671
659	9042	4658
660	9058	4645
661	9071	4631
662	9086	4618
663	9102	4606
664	9116	4592
665	9134	4580
666	9145	4566
667	9157	4551
668	9172	4538
669	9185	4524
670	9198	4510
671	9211	4496
672	9224	4482
673	9238	4468
674	9250	4453
675	9264	4440
676	9280	4427
677	9295	4414
678	9310	4401
679	9324	4387
680	9339	4374
681	9352	4360
682	9366	4347
683	9383	4335
684	9397	4321
685	9411	4307
686	9424	4294
687	9438	4280
688	9452	4266
689	9464	4252
690	9478	4238
691	9492	4225
692	9505	4211
693	9518	4196
694	9532	4183
695	9545	4169
696	9557	4155
697	9571	4141
